id,collection,dc.identifier.uri,cml.calculationtype[],cml.energy.units[],cml.energy.value[],cml.formula.generic[],cml.hasmolecularorbitals[],cml.hassolvent[],cml.hasvibrationalfrequencies[],cml.method[],cml.numberofjobs[],cml.program.name[],cml.program.other[],cml.program.version[],cml.shelltype[],dc.contributor.author[],dc.date.created[],dc.date.issued[],dc.description.abstract[],dc.publisher[],dc.relation.ispartof,dc.relation.uri[*],dc.relation[*],dc.rights.uri[],dc.rights[],dc.title[],dc.type[]
"102565","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101514","Geometry optimization","eV","-1117.20701792","CH3NO81Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:06.775948+02:00","2025-07-23T10:54:06.775948+02:00","adsorption configuration 1","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amides/Formamide/bridge_Obr config_1","dataset"
"102567","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101516","Geometry optimization","eV","-1118.17046597","CH3NO81Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:06.666178+02:00","2025-07-23T10:54:06.666178+02:00","adsorption configuration 1","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amides/Formamide/hollow_M5c-Obr config_1","dataset"
"102570","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101519","Geometry optimization","eV","-1118.14303192","CH3NO81Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:06.506104+02:00","2025-07-23T10:54:06.506104+02:00","adsorption configuration 1","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amides/Formamide/top_M5c config_1","dataset"
"102573","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101522","Geometry optimization","eV","-1117.07671930","CH3NO81Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:06.346561+02:00","2025-07-23T10:54:06.346561+02:00","adsorption configuration 1","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amides/Formamide/top_Obr config_1","dataset"
"102574","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101523","Geometry optimization","eV","-1117.17722041","CH3NO81Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:06.29272+02:00","2025-07-23T10:54:06.29272+02:00","adsorption configuration 3","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amides/Formamide/top_Obr config_3","dataset"
"102575","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101524","Geometry optimization","eV","-1140.31789258","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:06.238871+02:00","2025-07-23T10:54:06.238871+02:00","adsorption configuration 1","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/hollow_M5c-Oip config_1","dataset"
"102576","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101525","Geometry optimization","eV","-1140.30144509","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:06.184801+02:00","2025-07-23T10:54:06.184801+02:00","adsorption configuration 2","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/hollow_M5c-Oip config_2","dataset"
"102577","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101526","Geometry optimization","eV","-1140.34670794","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:06.128321+02:00","2025-07-23T10:54:06.128321+02:00","adsorption configuration 3","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/hollow_M5c-Oip config_3","dataset"
"102578","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101527","Geometry optimization","eV","-1140.31000854","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:06.072336+02:00","2025-07-23T10:54:06.072336+02:00","adsorption configuration 1","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/bridge_Obr config_1","dataset"
"102579","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101528","Geometry optimization","eV","-1140.31830370","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:06.017961+02:00","2025-07-23T10:54:06.017961+02:00","adsorption configuration 2","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/bridge_Obr config_2","dataset"
"102580","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101529","Geometry optimization","eV","-1140.15892667","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:05.917418+02:00","2025-07-23T10:54:05.917418+02:00","adsorption configuration 3","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/bridge_Obr config_3","dataset"
"102581","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101530","Geometry optimization","eV","-1140.13137989","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:05.860505+02:00","2025-07-23T10:54:05.860505+02:00","adsorption configuration 1","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/hollow_M5c-Obr config_1","dataset"
"102582","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101531","Geometry optimization","eV","-1140.24645615","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:05.804174+02:00","2025-07-23T10:54:05.804174+02:00","adsorption configuration 2","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/hollow_M5c-Obr config_2","dataset"
"102583","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101532","Geometry optimization","eV","-1140.11229945","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:05.749008+02:00","2025-07-23T10:54:05.749008+02:00","adsorption configuration 3","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/hollow_M5c-Obr config_3","dataset"
"102584","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101533","Geometry optimization","eV","-1140.32621232","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:05.691796+02:00","2025-07-23T10:54:05.691796+02:00","adsorption configuration 1","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/top_M5c config_1","dataset"
"102585","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101534","Geometry optimization","eV","-1140.35500219","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:05.639261+02:00","2025-07-23T10:54:05.639261+02:00","adsorption configuration 2","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/top_M5c config_2","dataset"
"102586","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101535","Geometry optimization","eV","-1140.32929366","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:05.586079+02:00","2025-07-23T10:54:05.586079+02:00","adsorption configuration 3","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/top_M5c config_3","dataset"
"102588","100/100710","https://iochem-bd.iciq.es/browse/handle/100/101537","Geometry optimization","eV","-1138.87223264","C2H6N2O80Ti40","false","false","false","DFT","1","vasp","18Apr17-6-g9f103f2a35 (build Apr 26 2024 11:19:37) complex","5.4.4","Closed shell","Van Hout, Thomas","2025-07-23T10:54:05.47832+02:00","2025-07-23T10:54:05.47832+02:00","adsorption configuration 2","Institute of Chemical Research of Catalonia","http://dx.doi.org/10.19061/iochem-bd-1-396","http://dx.doi.org/10.1039/D5DD00331H","Original title: Evaluating the transfer learning from metals to oxides with GAME-Net-Ox   DOI: 10.1039/D5DD00331H","http://creativecommons.org/licenses/by/4.0/","CC BY 4.0 (c) Institute of Chemical Research of Catalonia, 2025","/TiO2(110)/Amidines/Acetimidamide/top_Obr config_2","dataset"
