Surface,Molecule Group,Molecule,Initial Site,DFT Energy (System),DFT Energy (Slab),DFT Energy (Gas),Adsorption Energy
RuO2,alkanes_alkenes_alkynes,Methane,Metal,-923.57413962,-899.06307944,-24.03812657,-0.472933609999959
RuO2,alkanes_alkenes_alkynes,Methane,Metal,-923.57419209,-899.06307944,-24.03812657,-0.472986079999973
RuO2,alkanes_alkenes_alkynes,Methane,Metal,-923.5730376,-899.06307944,-24.03812657,-0.471831589999997
RuO2,alkanes_alkenes_alkynes,Methane,Metal,-923.51208958,-899.06307944,-24.03812657,-0.410883569999928
RuO2,alkanes_alkenes_alkynes,Methane,Metal,-923.56303475,-899.06307944,-24.03812657,-0.461828740000019
RuO2,alkanes_alkenes_alkynes,Methane,Hole,-923.57044558,-899.06307944,-24.03812657,-0.469239569999932
RuO2,alkanes_alkenes_alkynes,Methane,Oxygen,-923.52774959,-899.06307944,-24.03812657,-0.426543579999962
RuO2,alkanes_alkenes_alkynes,Methane,Oxygen Bridge,-923.24133564,-899.06307944,-24.03812657,-0.140129629999965
RuO2,alkanes_alkenes_alkynes,Methane,Metal Bridge,-923.40581532,-899.06307944,-24.03812657,-0.304609309999964
RuO2,alkanes_alkenes_alkynes,Ethane,Metal,-940.2496747,-899.06307944,-40.5271974,-0.659397859999991
RuO2,alkanes_alkenes_alkynes,Ethane,Metal,-940.07154498,-899.06307944,-40.5271974,-0.481268139999976
RuO2,alkanes_alkenes_alkynes,Ethane,Metal,-940.12261711,-899.06307944,-40.5271974,-0.532340269999942
RuO2,alkanes_alkenes_alkynes,Ethane,Oxygen,-939.82451346,-899.06307944,-40.5271974,-0.234236620000026
RuO2,alkanes_alkenes_alkynes,Ethane,Oxygen Bridge,-939.8210077,-899.06307944,-40.5271974,-0.230730859999973
RuO2,alkanes_alkenes_alkynes,Ethane,Metal Bridge,-940.11494603,-899.06307944,-40.5271974,-0.524669190000033
RuO2,alkanes_alkenes_alkynes,Ethane,Metal Bridge,-940.26121663,-899.06307944,-40.5271974,-0.670939790000013
RuO2,alkanes_alkenes_alkynes,Ethene,Metal,-932.17489474,-899.06307944,-31.98468456,-1.12713073999999
RuO2,alkanes_alkenes_alkynes,Ethene,Metal,-932.16017735,-899.06307944,-31.98468456,-1.11241335
RuO2,alkanes_alkenes_alkynes,Ethene,Metal,-931.4327563,-899.06307944,-31.98468456,-0.384992300000025
RuO2,alkanes_alkenes_alkynes,Ethene,Hole,-932.13473422,-899.06307944,-31.98468456,-1.08697022000002
RuO2,alkanes_alkenes_alkynes,Ethene,Oxygen,-932.16753359,-899.06307944,-31.98468456,-1.11976958999992
RuO2,alkanes_alkenes_alkynes,Ethene,Oxygen,-931.18311983,-899.06307944,-31.98468456,-0.135355829999984
RuO2,alkanes_alkenes_alkynes,Ethene,Oxygen Bridge,-932.13760714,-899.06307944,-31.98468456,-1.08984313999997
RuO2,alkanes_alkenes_alkynes,Ethene,Metal Bridge,-931.3162917,-899.06307944,-31.98468456,-0.26852769999994
RuO2,alkanes_alkenes_alkynes,Ethene,Metal Bridge,-931.66044214,-899.06307944,-31.98468456,-0.612678139999961
RuO2,alkanes_alkenes_alkynes,Propane,Metal,-956.88756876,-899.06307944,-57.09545583,-0.729033489999999
RuO2,alkanes_alkenes_alkynes,Propane,Metal,-956.90271627,-899.06307944,-57.09545583,-0.744181000000019
RuO2,alkanes_alkenes_alkynes,Propane,Metal,-956.69795194,-899.06307944,-57.09545583,-0.53941667000003
RuO2,alkanes_alkenes_alkynes,Propane,Metal,-956.89976239,-899.06307944,-57.09545583,-0.741227119999955
RuO2,alkanes_alkenes_alkynes,Propane,Metal,-956.69815344,-899.06307944,-57.09545583,-0.539618170000033
RuO2,alkanes_alkenes_alkynes,Propane,Metal,-956.89326432,-899.06307944,-57.09545583,-0.734729049999935
RuO2,alkanes_alkenes_alkynes,Propane,Hole,-956.80032946,-899.06307944,-57.09545583,-0.641794189999921
RuO2,alkanes_alkenes_alkynes,Propane,Oxygen,-956.56090334,-899.06307944,-57.09545583,-0.402368069999959
RuO2,alkanes_alkenes_alkynes,Propane,Oxygen,-956.48175173,-899.06307944,-57.09545583,-0.323216460000019
RuO2,alkanes_alkenes_alkynes,Propane,Oxygen,-956.53093492,-899.06307944,-57.09545583,-0.372399650000027
RuO2,alkanes_alkenes_alkynes,Propane,Oxygen,-956.35098147,-899.06307944,-57.09545583,-0.192446199999942
RuO2,alkanes_alkenes_alkynes,Propane,Oxygen Bridge,-956.35251137,-899.06307944,-57.09545583,-0.193976099999979
RuO2,alkanes_alkenes_alkynes,Propane,Metal Bridge,-956.9335845,-899.06307944,-57.09545583,-0.775049230000029
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Metal,-939.21052943,-899.06307944,-39.83813428,-0.309315709999929
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Metal,-940.14321519,-899.06307944,-39.83813428,-1.24200146999996
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Metal,-940.15284018,-899.06307944,-39.83813428,-1.25162645999998
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Metal,-939.98643376,-899.06307944,-39.83813428,-1.08522003999993
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Hole,-940.07267656,-899.06307944,-39.83813428,-1.17146283999997
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Oxygen,-939.08287493,-899.06307944,-39.83813428,-0.18166120999998
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Oxygen,-939.1419048,-899.06307944,-39.83813428,-0.240691079999998
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Oxygen,-939.20100056,-899.06307944,-39.83813428,-0.299786839999989
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Oxygen Bridge,-939.0564661,-899.06307944,-39.83813428,-0.155252379999943
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Oxygen Bridge,-940.42620746,-899.06307944,-39.83813428,-1.52499373999998
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Metal Bridge,-939.5022424,-899.06307944,-39.83813428,-0.601028679999978
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Metal Bridge,-939.25385423,-899.06307944,-39.83813428,-0.352640509999979
RuO2,alkanes_alkenes_alkynes,Prop-1-yne,Metal Bridge,-940.10351448,-899.06307944,-39.83813428,-1.20230075999992
RuO2,alkanes_alkenes_alkynes,Propylene,Metal,-949.11253345,-899.06307944,-48.7101188,-1.33933520999998
RuO2,alkanes_alkenes_alkynes,Propylene,Metal,-949.10082353,-899.06307944,-48.7101188,-1.32762528999994
RuO2,alkanes_alkenes_alkynes,Propylene,Metal,-949.10661564,-899.06307944,-48.7101188,-1.33341739999995
RuO2,alkanes_alkenes_alkynes,Propylene,Hole,-949.10526,-899.06307944,-48.7101188,-1.33206176000002
RuO2,alkanes_alkenes_alkynes,Propylene,Oxygen,-949.09939398,-899.06307944,-48.7101188,-1.32619573999992
RuO2,alkanes_alkenes_alkynes,Propylene,Oxygen,-947.96069496,-899.06307944,-48.7101188,-0.187496719999935
RuO2,alkanes_alkenes_alkynes,Propylene,Oxygen,-948.0860334,-899.06307944,-48.7101188,-0.312835159999999
RuO2,alkanes_alkenes_alkynes,Propylene,Metal Bridge,-949.10092692,-899.06307944,-48.7101188,-1.32772867999999
RuO2,alkanes_alkenes_alkynes,Acetylene,Metal,-923.23118681,-899.06307944,-22.95142042,-1.21668695000003
RuO2,alkanes_alkenes_alkynes,Acetylene,Metal,-923.20528831,-899.06307944,-22.95142042,-1.19078844999999
RuO2,alkanes_alkenes_alkynes,Acetylene,Metal,-923.20375074,-899.06307944,-22.95142042,-1.18925088000001
RuO2,alkanes_alkenes_alkynes,Acetylene,Oxygen Bridge,-922.57288345,-899.06307944,-22.95142042,-0.558383589999924
RuO2,alkanes_alkenes_alkynes,Acetylene,Oxygen Bridge,-924.3982022,-899.06307944,-22.95142042,-2.38370233999999
RuO2,alkanes_alkenes_alkynes,Acetylene,Metal Bridge,-922.57371328,-899.06307944,-22.95142042,-0.559213419999967
RuO2,alkanes_alkenes_alkynes,Acetylene,Metal Bridge,-923.21752523,-899.06307944,-22.95142042,-1.20302536999995
RuO2,alcohols_aldehydes_ketones_ethers,Methanol,Metal,-930.87484256,-899.06307944,-30.22478718,-1.58697594000002
RuO2,alcohols_aldehydes_ketones_ethers,Methanol,Metal,-930.87992057,-899.06307944,-30.22478718,-1.59205394999994
RuO2,alcohols_aldehydes_ketones_ethers,Methanol,Metal,-930.87629691,-899.06307944,-30.22478718,-1.58843028999993
RuO2,alcohols_aldehydes_ketones_ethers,Methanol,Hole,-930.87638221,-899.06307944,-30.22478718,-1.58851558999995
RuO2,alcohols_aldehydes_ketones_ethers,Methanol,Hole,-930.87743962,-899.06307944,-30.22478718,-1.58957299999999
RuO2,alcohols_aldehydes_ketones_ethers,Methanol,Oxygen,-929.60258099,-899.06307944,-30.22478718,-0.314714369999955
RuO2,alcohols_aldehydes_ketones_ethers,Methanol,Oxygen,-930.099634,-899.06307944,-30.22478718,-0.811767380000013
RuO2,alcohols_aldehydes_ketones_ethers,Methanol,Oxygen Bridge,-929.66819428,-899.06307944,-30.22478718,-0.380327659999942
RuO2,alcohols_aldehydes_ketones_ethers,Methanol,Metal Bridge,-930.87956439,-899.06307944,-30.22478718,-1.59169777000002
RuO2,alcohols_aldehydes_ketones_ethers,Ethanol,Metal,-946.9462182,-899.06307944,-46.92521708,-0.957921679999949
RuO2,alcohols_aldehydes_ketones_ethers,Ethanol,Metal,-946.83609672,-899.06307944,-46.92521708,-0.847800199999973
RuO2,alcohols_aldehydes_ketones_ethers,Ethanol,Hole,-946.71394189,-899.06307944,-46.92521708,-0.725645369999974
RuO2,alcohols_aldehydes_ketones_ethers,Ethanol,Hole,-947.61524852,-899.06307944,-46.92521708,-1.626952
RuO2,alcohols_aldehydes_ketones_ethers,Ethanol,Hole,-946.67735731,-899.06307944,-46.92521708,-0.689060790000021
RuO2,alcohols_aldehydes_ketones_ethers,Ethanol,Oxygen,-946.33074693,-899.06307944,-46.92521708,-0.342450410000005
RuO2,alcohols_aldehydes_ketones_ethers,Ethanol,Oxygen,-946.1712528,-899.06307944,-46.92521708,-0.18295628000002
RuO2,alcohols_aldehydes_ketones_ethers,Ethanol,Oxygen Bridge,-946.39481914,-899.06307944,-46.92521708,-0.406522619999954
RuO2,alcohols_aldehydes_ketones_ethers,Ethanol,Metal Bridge,-947.7055596,-899.06307944,-46.92521708,-1.71726307999999
RuO2,alcohols_aldehydes_ketones_ethers,Ethanol,Metal Bridge,-946.67862732,-899.06307944,-46.92521708,-0.690330800000005
RuO2,alcohols_aldehydes_ketones_ethers,Propan-2-ol,Metal,-963.62804918,-899.06307944,-63.64144238,-0.923527359999923
RuO2,alcohols_aldehydes_ketones_ethers,Propan-2-ol,Metal,-964.44554793,-899.06307944,-63.64144238,-1.74102610999995
RuO2,alcohols_aldehydes_ketones_ethers,Propan-2-ol,Hole,-963.32777468,-899.06307944,-63.64144238,-0.623252859999923
RuO2,alcohols_aldehydes_ketones_ethers,Propan-2-ol,Hole,-964.42669589,-899.06307944,-63.64144238,-1.72217406999999
