model,E_O_eV,E_H_eV,E_H2O_eV,E_CO_eV,E_OH_eV,O_ref_raw_eV,O_ref_corrected_eV,OH_ref_raw_eV,OH_ref_corrected_eV
CHGNet-0.3.0,-2.7643513679504395,-1.150702953338623,-14.810493469238281,-14.974985122680664,-8.118115425109863,-8.142830848693848,-5.632830848693848,-11.476662158966064,-11.476662158966064
Orb-v2,-1.8749046325683594,-0.9333491325378418,-14.113420486450195,-14.657463073730469,-7.730119228363037,-7.415211200714111,-4.9052112007141115,-10.764315843582153,-10.764315843582153
MACE-mh1-omat,-2.4354694003985817,-1.120410429190995,-14.228717264849806,-14.743287630697049,-7.926204284392801,-7.4624463752158965,-4.952446375215897,-10.845581820032852,-10.845581820032852
MACE-mh1-oc20,-1.528718726122101,-0.6455591844736854,-14.101137108335763,-14.352674269546647,-7.778011731221028,-7.177000592968534,-4.6670005929685345,-10.639068850652148,-10.639068850652148
MACE-mh1-matpes,-3.3589805742473606,-1.0526354192578442,-15.290287044032285,-16.417978893936056,-8.81697097899086,-8.435480108942542,-5.925480108942542,-11.862883576487413,-11.862883576487413
UMA-omat,-1.5494979929807355,-1.1142662656099915,-14.196093903290265,-14.809866373518123,-7.761282458582993,-7.5464195856923375,-5.036419585692338,-10.871256744491301,-10.871256744491301
UMA-oc20,-0.10087057980993386,-0.15970477875227074,-14.151959522125876,-14.49598736714886,-7.020964640508991,-7.211332078737768,-4.701332078737768,-10.681645800431822,-10.681645800431822
UMA-oc22,-1.5432435877982122,-0.011303379898368604,-12.811710898274544,-14.467151476660288,-7.356278544161313,-6.678915187892084,-4.168915187892084,-9.745313043083314,-9.745313043083314
UMA-M-omat,-2.767275999012912,0.5706018146064409,-13.680902236120975,-14.667549509938176,-7.996558330588724,-7.20946786449948,-4.69946786449948,-10.445185050310227,-10.445185050310227
UMA-M-oc20,-0.7659564797725675,-0.35676135021496647,-14.121438301291539,-14.438940819034269,-7.392456055989507,-7.159247206502211,-4.649247206502211,-10.640342753896874,-10.640342753896874
SevenNet-omni-omat24,-1.3854823112487793,-0.8017699122428894,-14.277708053588867,-14.84752082824707,-7.6541290283203125,-7.510937213897705,-5.000937213897705,-10.894322633743286,-10.894322633743286
SevenNet-omni-oc20,-1.0689457654953003,-0.3988247513771057,-14.150558471679688,-14.391191482543945,-7.6441473960876465,-7.197963714599609,-4.68796371459961,-10.674261093139648,-10.674261093139648
SevenNet-omni-oc22,-1.8466999530792236,-1.0147688388824463,-14.223857879638672,-14.785894393920898,-7.891326904296875,-7.466723442077637,-4.956723442077637,-10.845290660858154,-10.845290660858154
SevenNet-omni-mpa,-1.7515387535095215,-0.9103180170059204,-14.227531433105469,-14.783084869384766,-7.793460369110107,-7.496231555938721,-4.986231555938721,-10.861881494522095,-10.861881494522095
eSEN-30M-OAM,-9.666886329650879,-3.9386746883392334,-14.19961929321289,-14.69399356842041,-7.796460151672363,-7.433867454528809,-4.923867454528809,-10.81674337387085,-10.81674337387085
