metal,oxide,facet,adsorbate,delta_E_ads_eV,delta_G_ads_eV
Cd,CdO2,110,O,5.02,5.01
Cd,CdO2,110,OH,2.26,2.56
Cd,CdO2,100,O,4.71,4.7
Cd,CdO2,100,OH,2.08,2.38
W,WO2,110,O,-0.75,-0.76
W,WO2,110,OH,-1.45,-1.15
W,WO2,100,O,-0.03,-0.04
W,WO2,100,OH,-0.82,-0.52
Pd,PdO2,110,O,4.12,4.11
Pd,PdO2,110,OH,0.88,1.18
Pd,PdO2,100,O,3.52,3.51
Pd,PdO2,100,OH,1.24,1.54
Nb,NbO2,110,O,-0.25,-0.26
Nb,NbO2,110,OH,-1.03,-0.73
Nb,NbO2,100,O,0.23,0.22
Nb,NbO2,100,OH,-0.75,-0.45
Cu,CuO2,110,O,4.75,4.74
Cu,CuO2,110,OH,2.29,2.59
Cu,CuO2,100,O,4.71,4.7
Cu,CuO2,100,OH,2.28,2.58
Hg,HgO2,110,O,5.45,5.44
Hg,HgO2,110,OH,2.81,3.11
Hg,HgO2,100,O,5.98,5.97
Hg,HgO2,100,OH,2.74,3.04
Zn,ZnO2,110,O,4.82,4.81
Zn,ZnO2,110,OH,2.23,2.53
Zn,ZnO2,100,O,4.76,4.75
Zn,ZnO2,100,OH,2.57,2.87
Pt,PtO2,110,O,2.73,2.72
Pt,PtO2,110,OH,0.5,0.8
Pt,PtO2,100,O,2.59,2.58
Pt,PtO2,100,OH,0.41,0.71
Ag,AgO2,110,O,4.78,4.77
Ag,AgO2,110,OH,2.09,2.39
Ag,AgO2,100,O,4.6,4.59
Ag,AgO2,100,OH,1.91,2.21
Ga,GaO2,110,O,4.74,4.73
Ga,GaO2,110,OH,2.08,2.38
Ga,GaO2,100,O,4.65,4.64
Ga,GaO2,100,OH,2.17,2.47
Os,OsO2,110,O,0.39,0.38
Os,OsO2,110,OH,-0.66,-0.36
Os,OsO2,100,O,0.64,0.63
Os,OsO2,100,OH,-0.36,-0.06
V,VO2,110,O,1.96,1.95
V,VO2,110,OH,0.19,0.49
V,VO2,100,O,2.19,2.18
V,VO2,100,OH,0.7,1.0
Cr,CrO2,110,O,3.23,3.22
Cr,CrO2,110,OH,1.13,1.43
Cr,CrO2,100,O,3.4,3.39
Cr,CrO2,100,OH,1.33,1.63
Ta,TaO2,110,O,-1.07,-1.08
Ta,TaO2,110,OH,-1.85,-1.55
Ta,TaO2,100,O,-0.39,-0.4
Ta,TaO2,100,OH,-1.46,-1.16
Fe,FeO2,110,O,4.71,4.7
Fe,FeO2,110,OH,1.88,2.18
Fe,FeO2,100,O,4.53,4.52
Fe,FeO2,100,OH,1.83,2.13
Rh,RhO2,110,O,2.54,2.53
Rh,RhO2,110,OH,0.46,0.76
Rh,RhO2,100,O,2.7,2.69
Rh,RhO2,100,OH,0.62,0.92
In,InO2,110,O,4.85,4.84
In,InO2,110,OH,2.13,2.43
In,InO2,100,O,4.61,4.6
In,InO2,100,OH,2.03,2.33
Re,ReO2,110,O,-0.5,-0.51
Re,ReO2,110,OH,-1.25,-0.95
Re,ReO2,100,O,0.09,0.08
Re,ReO2,100,OH,-0.6,-0.3
Ir,IrO2,110,O,1.46,1.45
Ir,IrO2,110,OH,-0.34,-0.04
Ir,IrO2,100,O,1.54,1.53
Ir,IrO2,100,OH,-0.24,0.06
Ge,GeO2,110,O,4.41,4.4
Ge,GeO2,110,OH,1.6,1.9
Ge,GeO2,100,O,4.51,4.5
Ge,GeO2,100,OH,1.78,2.08
Au,AuO2,110,O,4.11,4.1
Au,AuO2,110,OH,1.51,1.81
Au,AuO2,100,O,4.09,4.08
Au,AuO2,100,OH,1.39,1.69
Ru,RuO2,110,O,1.63,1.62
Ru,RuO2,110,OH,0.17,0.47
Ru,RuO2,100,O,1.83,1.82
Ru,RuO2,100,OH,0.41,0.71
Pb,PbO2,110,O,5.11,5.1
Pb,PbO2,110,OH,2.0,2.3
Pb,PbO2,100,O,4.81,4.8
Pb,PbO2,100,OH,1.98,2.28
Hf,HfO2,110,O,4.47,4.46
Hf,HfO2,110,OH,1.54,1.84
Hf,HfO2,100,O,4.43,4.42
Hf,HfO2,100,OH,1.59,1.89
Tc,TcO2,110,O,0.54,0.53
Tc,TcO2,110,OH,-0.36,-0.06
Tc,TcO2,100,O,0.93,0.92
Tc,TcO2,100,OH,0.17,0.47
Co,CoO2,110,O,3.77,3.76
Co,CoO2,110,OH,1.38,1.68
Co,CoO2,100,O,3.69,3.68
Co,CoO2,100,OH,1.34,1.64
Mn,MnO2,110,O,4.09,4.08
Mn,MnO2,110,OH,1.53,1.83
Mn,MnO2,100,O,4.02,4.01
Mn,MnO2,100,OH,1.48,1.78
Zr,ZrO2,110,O,4.64,4.63
Zr,ZrO2,110,OH,1.72,2.02
Zr,ZrO2,100,O,4.58,4.57
Zr,ZrO2,100,OH,1.77,2.07
Mo,MoO2,110,O,-0.28,-0.29
Mo,MoO2,110,OH,-0.67,-0.37
Mo,MoO2,100,O,-0.06,-0.07
Mo,MoO2,100,OH,-0.62,-0.32
Ni,NiO2,110,O,4.48,4.47
Ni,NiO2,110,OH,2.1,2.4
Ni,NiO2,100,O,4.09,4.08
Ni,NiO2,100,OH,1.6,1.9
Ti,TiO2,110,O,4.55,4.54
Ti,TiO2,110,OH,1.72,2.02
Ti,TiO2,100,O,4.5,4.49
Ti,TiO2,100,OH,1.83,2.13
Tl,TlO2,110,O,5.08,5.07
Tl,TlO2,110,OH,2.41,2.71
Tl,TlO2,100,O,5.47,5.46
Tl,TlO2,100,OH,2.08,2.38
Sn,SnO2,110,O,4.43,4.42
Sn,SnO2,110,OH,1.4,1.7
Sn,SnO2,100,O,4.53,4.52
Sn,SnO2,100,OH,1.66,1.96
